"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0055007","cardiac muscle cell differentiation","6/31","170/25730",0.0352941176470588,29.2941176470588,12.8550680254297,4.88850410078635e-08,5.02538221560837e-05,3.54030612772738e-05,"15182/15183/17880/16905/56376/19736",6
"GO:0035051","cardiocyte differentiation","6/31","209/25730",0.0287081339712919,23.8277511961722,11.5085767395521,1.6614853132599e-07,8.54003451015587e-05,6.01632576590952e-05,"15182/15183/17880/16905/56376/19736",6
"GO:0055013","cardiac muscle cell development","5/31","117/25730",0.0427350427350427,35.4700854700855,12.9789408918897,2.75747210477211e-07,9.44893774568577e-05,6.65663441432707e-05,"15182/17880/16905/56376/19736",5
"GO:0055006","cardiac cell development","5/31","126/25730",0.0396825396825397,32.9365079365079,12.4811033226413,3.98893094297729e-07,0.000102515525234516,7.2220644441273e-05,"15182/17880/16905/56376/19736",5
"GO:0048738","cardiac muscle tissue development","6/31","293/25730",0.0204778156996587,16.9965870307167,9.56450253403018,1.20053501562369e-06,0.000246829999212231,0.000173888019105074,"15182/15183/17880/16905/56376/19736",6
"GO:0014706","striated muscle tissue development","7/31","494/25730",0.01417004048583,11.7611336032389,8.38774901447747,1.62583138660396e-06,0.000278559110904812,0.000196240700698864,"15182/15183/17880/17904/16905/56376/19736",7
"GO:0051146","striated muscle cell differentiation","6/31","366/25730",0.0163934426229508,13.6065573770492,8.43650102157945,4.33494041784281e-06,0.000636616964220344,0.000448487068793361,"15182/15183/17880/16905/56376/19736",6
"GO:0055002","striated muscle cell development","5/31","211/25730",0.023696682464455,19.6682464454976,9.45686338945938,5.05152296606365e-06,0.000649120701139179,0.000457295763243656,"15182/17880/16905/56376/19736",5
"GO:0043648","dicarboxylic acid metabolic process","4/31","107/25730",0.0373831775700935,31.0280373831776,10.8103072251093,8.15669099873304e-06,0.000931675371855285,0.000656351275687524,"56451/20916/66945/14630",4
"GO:0006099","tricarboxylic acid cycle","3/31","35/25730",0.0857142857142857,71.1428571428572,14.4220617753243,1.00966530566673e-05,0.00101376307687897,0.000714180828274351,"56451/20916/66945",3
"GO:0055001","muscle cell development","5/31","247/25730",0.0202429149797571,16.8016194331984,8.66680421258957,1.08476593829462e-05,0.00101376307687897,0.000714180828274351,"15182/17880/16905/56376/19736",5
"GO:0003012","muscle system process","6/31","473/25730",0.0126849894291755,10.5285412262156,7.26440910014294,1.86357089620798e-05,0.00159645906775151,0.00112468138297464,"17880/17904/16905/56376/107589/19736",6
