"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002274","myeloid leukocyte activation","44/566","292/25730",0.150684931506849,6.85004114429546,15.0778249035011,5.44372318402778e-24,2.59665595878125e-20,1.51965830358333e-20,"83433/12978/12259/233274/22177/14131/11629/14127/13051/15979/12493/20375/14824/66824/74734/16414/16173/15170/11542/19267/17096/12523/12606/56743/19354/171285/13032/12759/217303/12506/16170/19204/17916/18173/27419/16409/15980/16822/20302/18753/21803/19215/12273/18129",44
"GO:0042063","gliogenesis","50/566","415/25730",0.120481927710843,5.47703180212014,13.7897087201324,1.21029536562661e-22,2.88655444701946e-19,1.6893175313904e-19,"83433/12978/12259/15212/22041/12527/13051/70839/30948/15979/14824/20720/236539/269951/18212/17096/24136/16971/216869/321019/64383/224109/29873/20203/12759/19283/235106/171469/20732/14758/11932/20677/27419/94185/58861/14184/18858/16409/20682/20302/70083/21803/12799/77582/12273/67916/26395/17869/15902/12988",50
"GO:0006935","chemotaxis","50/566","479/25730",0.104384133611691,4.74523632125231,12.409021101987,6.6516996365471e-20,9.49142814378479e-17,5.5547318630293e-17,"83433/12978/19141/14131/11629/14127/13051/70839/668218/20375/12721/102545/16414/12774/17096/16971/67272/216869/321019/12986/19354/14066/20308/12267/19277/16170/73710/57266/27226/19204/106512/105855/237847/58861/16409/98365/18750/20302/22324/18753/21803/14747/16985/75458/277360/12273/68119/67759/20305/16172",50
"GO:0042330","taxis","50/566","481/25730",0.103950103950104,4.72550560889784,12.3698803662236,7.95926888367697e-20,9.49142814378479e-17,5.5547318630293e-17,"83433/12978/19141/14131/11629/14127/13051/70839/668218/20375/12721/102545/16414/12774/17096/16971/67272/216869/321019/12986/19354/14066/20308/12267/19277/16170/73710/57266/27226/19204/106512/105855/237847/58861/16409/98365/18750/20302/22324/18753/21803/14747/16985/75458/277360/12273/68119/67759/20305/16172",50
"GO:0002263","cell activation involved in immune response","43/566","356/25730",0.120786516853933,5.49087823083337,12.7965129780127,1.16416737570074e-19,1.1106156764185e-16,6.49973027443864e-17,"83433/12520/22177/14127/15900/13051/20375/14824/66824/12721/54519/14999/16414/16173/15170/11542/17096/16783/16971/328572/321019/12523/56743/17079/18708/19354/171285/217303/18826/19204/17916/16194/105855/18173/210293/19264/16409/20302/21803/19215/18129/80859/16848",43
"GO:0050900","leukocyte migration","46/566","414/25730",0.111111111111111,5.05104043973302,12.4623239553471,1.77325788754173e-19,1.40974002059568e-16,8.25031564519415e-17,"83433/12978/20345/19141/12520/14131/11629/14127/12527/13051/19261/70839/20375/66824/12721/16414/11542/17096/321019/12986/18708/19354/54725/217303/12267/19277/16170/57266/27226/16175/19204/17916/106512/105855/16409/98365/18750/65256/20302/22324/21803/14747/75458/277360/12273/16172",46
"GO:0002366","leukocyte activation involved in immune response","42/566","352/25730",0.119318181818182,5.42412865403148,12.5343037174476,4.97616341702371e-19,3.39089992845759e-16,1.98447900480404e-16,"83433/12520/22177/14127/15900/13051/20375/14824/66824/12721/54519/14999/16414/16173/15170/11542/17096/16783/328572/321019/12523/56743/17079/18708/19354/171285/217303/18826/19204/17916/16194/105855/18173/210293/19264/16409/20302/21803/19215/18129/80859/16848",42
"GO:0070661","leukocyte proliferation","43/566","381/25730",0.112860892388451,5.13058438366582,12.1821348257744,1.5550690481514e-18,9.27209919960274e-16,5.42637252065464e-16,"83433/12978/12520/22177/74048/16792/11629/12493/66824/12721/14130/14999/16988/16414/16173/15170/17260/17096/16331/12524/321019/320484/17079/19354/171285/12759/217303/16008/16175/105855/18173/94185/19264/16409/22324/27060/18753/21803/20971/12982/21940/17869/80859",43
"GO:0042113","B cell activation","39/566","327/25730",0.119266055045872,5.42175900411709,12.0685827309715,9.55413766172309e-18,5.06369296071324e-15,2.96345883963622e-15,"12520/22177/16792/15900/20375/18987/102545/14130/17060/12193/22778/67742/15170/17260/17096/328572/16331/12524/321019/56743/17079/18708/217303/74039/105855/94185/210293/19264/11740/54353/22324/27060/18753/21803/18129/21940/15902/80859/16848",39
"GO:0032640","tumor necrosis factor production","31/566","202/25730",0.153465346534653,6.97643704299759,12.7890848540999,1.73648080801804e-17,7.53001223113277e-15,4.40683933288406e-15,"83433/12978/233274/22177/74048/14131/14127/13051/19261/15979/66824/14129/12475/14130/16173/15170/12774/26888/73149/216869/12523/13057/18708/171285/12759/16175/19204/19264/22695/20302/21803",31
